City,Country,Latitude,Longitude,Population,Elevation,Timezone,GMT_offset
Faro,Portugal,37.01869,-7.92716,41355,24,Europe/Lisbon,0
Farragut,United States,35.88452,-84.15353,21919,266,America/New_York,-5
Farrokh Shahr,Iran,32.27174,50.98008,32391,2106,Asia/Tehran,3.5
Farroupilha,Brazil,-29.225,-51.34778,57650,773,America/Sao_Paulo,-3
Farrukhabad,India,27.39134,79.5793,241152,156,Asia/Kolkata,5.5
Farrukhnagar,India,17.07787,78.20339,39766,647,Asia/Kolkata,5.5
Farsan,Iran,32.25694,50.56095,25071,2039,Asia/Tehran,3.5
Farshut,Egypt,26.05501,32.16274,53851,77,Africa/Cairo,2
Faruka,Pakistan,31.88642,72.41362,21747,173,Asia/Karachi,5
Farum,Denmark,55.80858,12.36066,18376,33,Europe/Copenhagen,1
Fasa,Iran,28.9383,53.6482,98061,1366,Asia/Tehran,3.5
Fasano,Italy,40.83625,17.36007,22593,120,Europe/Rome,1
Fastiv,Ukraine,50.0767,29.9177,51143,208,Europe/Kiev,2
Fatehabad,India,27.02645,75.45554,21957,169,Asia/Kolkata,5.5
Fatehganj West,India,28.4662,79.30657,23810,172,Asia/Kolkata,5.5
Fatehgarh Churian,India,31.86431,74.95665,18051,242,Asia/Kolkata,5.5
Fatehpur,India,25.92774,74.95628,166480,121,Asia/Kolkata,5.5
Fatehpur Sikri,India,27.0937,77.66003,30026,213,Asia/Kolkata,5.5
Fatsa,Turkey,41.02778,37.50139,82160,17,Europe/Istanbul,3
Fatwa,India,25.50958,85.30504,41647,55,Asia/Kolkata,5.5
Favara,Italy,37.31754,13.66226,32110,317,Europe/Rome,1
Faversham,United Kingdom,51.3148,0.88856,19829,11,Europe/London,0
Favoriten,Austria,48.16116,16.38233,201882,236,Europe/Vienna,1
Fayetteville,United States,33.44873,-78.87836,16990,289,America/Chicago,-5
Fayzabad,Afghanistan,37.11664,70.58002,44421,1210,Asia/Kabul,4.5
Fazilka,India,30.40207,74.02836,70887,181,Asia/Kolkata,5.5
Fazilpur,Pakistan,32.17629,75.06583,28213,248,Asia/Karachi,5
Fecamp,France,49.75787,0.37457,22003,17,Europe/Paris,1
Federal,Argentina,-30.95465,-58.78326,16333,67,America/Argentina/Cordoba,-3
Federal Way,United States,47.32232,-122.31262,95171,142,America/Los_Angeles,-8
Fedorovskiy,Russia,61.6063,73.71415,23375,71,Asia/Yekaterinburg,5
Feicheng,"China, People's Republic of",35.26056,116.76583,77606,114,Asia/Shanghai,8
Feira,Portugal,40.92535,-8.54277,16376,122,Europe/Lisbon,0
Feira de Santana,Brazil,-12.26667,-38.96667,481911,223,America/Bahia,-3
Felanitx,Spain,39.4696,3.14831,18270,116,Europe/Madrid,1
Feldkirch,Austria,47.23306,9.6,33420,475,Europe/Vienna,1
Felege Neway,Ethiopia,6.3,36.88333,33429,1361,Africa/Addis_Ababa,3
Felgueiras,Portugal,41.36806,-8.19396,58065,348,Europe/Lisbon,0
Felipe Carrillo Puerto,Mexico,19.5775,-88.04529,25744,15,America/Cancun,-5
Felixstowe,United Kingdom,51.96375,1.3511,29171,22,Europe/London,0
Fellbach,Germany,48.80912,9.27697,43935,287,Europe/Berlin,1
Felling,United Kingdom,54.95297,-1.57152,34355,42,Europe/London,0
Feltham,United Kingdom,51.4462,-0.41388,24325,22,Europe/London,0
Fendou,"China, People's Republic of",45.21235,124.86283,164844,147,Asia/Shanghai,8
Fengcheng,"China, People's Republic of",34.70388,116.58717,120514,40,Asia/Shanghai,8
Fenghua,"China, People's Republic of",29.65628,121.4064,76653,17,Asia/Shanghai,8
Fenghuang,"China, People's Republic of",27.93557,109.59961,370000,449,Asia/Shanghai,8
Fengkou,"China, People's Republic of",30.08268,113.33346,67139,28,Asia/Shanghai,8
Fengrun,"China, People's Republic of",39.83333,118.11667,65150,28,Asia/Shanghai,8
Fengxiang,"China, People's Republic of",47.57549,130.82306,42109,86,Asia/Shanghai,8
Fengyi,"China, People's Republic of",25.58399,100.31181,61890,1988,Asia/Shanghai,8
Feni,Bangladesh,23.0144,91.3966,84028,12,Asia/Dhaka,6
Fennpfuhl,Germany,52.52921,13.47267,31529,64,Europe/Berlin,1
Fenoarivo Atsinanana,Madagascar,-17.38095,49.40826,21036,14,Indian/Antananarivo,3
Fenoarivo Be,Madagascar,-18.43333,46.56667,19605,983,Indian/Antananarivo,3
Fenyi,"China, People's Republic of",27.81117,114.66805,58478,84,Asia/Shanghai,8
Feodosiya,Ukraine,45.03199,35.38153,68562,10,Europe/Simferopol,3
Feraoun,Algeria,36.56041,4.85454,21700,652,Africa/Algiers,1
Fereydun Kenar,Iran,36.68489,52.51917,34097,-20,Asia/Tehran,3.5
Fergana,Uzbekistan,40.38421,71.78432,164322,580,Asia/Tashkent,5
Ferguson,United States,38.74422,-90.30539,21059,155,America/Chicago,-6
Ferizaj,Kosovo,42.37056,21.15528,59504,582,Europe/Belgrade,1
Ferizli,Turkey,40.94082,30.48583,23740,42,Europe/Istanbul,3
Ferkessedougou,Ivory Coast,9.5928,-5.19449,62008,334,Africa/Abidjan,0
Fermo,Italy,43.16296,13.72274,18109,227,Europe/Rome,1
Fern Creek,United States,38.15979,-85.58774,18409,221,America/Kentucky/Louisville,-5
Fernando de la Mora,Paraguay,-25.3386,-57.52167,120167,131,America/Asuncion,-3
Fernandopolis,Brazil,-20.28389,-50.24639,61931,533,America/Sao_Paulo,-3
Ferndale,United States,39.18316,-76.64024,16746,200,America/Detroit,-5
Ferndown,United Kingdom,50.80743,-1.89975,17650,23,Europe/London,0
Fernley,United States,39.60797,-119.25183,19418,1270,America/Los_Angeles,-8
Ferntree Gully,Australia,-37.88461,145.29539,26019,125,Australia/Melbourne,11
Ferokh,India,11.17989,75.84141,30229,25,Asia/Kolkata,5.5
Ferozepore,India,30.92574,74.61311,102130,200,Asia/Kolkata,5.5
Ferrara,Italy,44.83804,11.62057,92802,15,Europe/Rome,1
Ferraz de Vasconcelos,Brazil,-23.54083,-46.36861,167900,759,America/Sao_Paulo,-3
Ferrenafe,Peru,-6.63889,-79.78889,34357,42,America/Lima,-5
Ferrol,Spain,43.48451,-8.23293,74273,24,Europe/Madrid,1
Ferry Pass,United States,30.5102,-87.21247,28921,45,America/Chicago,-6
Fes,Morocco,34.03313,-5.00028,964891,406,Africa/Casablanca,1
Fes al Bali,Morocco,34.0701,-4.95473,156000,237,Africa/Casablanca,1
Fetesti,Romania,44.38333,27.83333,32866,59,Europe/Bucharest,2
Fetesti-Gara,Romania,44.4196,27.82536,23789,58,Europe/Bucharest,2
Fethiye,Turkey,36.64038,29.12758,60437,9,Europe/Istanbul,3
Fianarantsoa,Madagascar,-21.45267,47.08569,167227,1117,Indian/Antananarivo,3
Fiche,Ethiopia,9.8,38.73333,25758,2792,Africa/Addis_Ababa,3
Fidenza,Italy,44.86694,10.06039,21952,81,Europe/Rome,1
Fiditi,Nigeria,7.71361,3.91722,71461,288,Africa/Lagos,1
Fier,Albania,40.72389,19.55611,56297,20,Europe/Tirane,1
Fier-Cifci,Albania,40.71667,19.56667,60995,17,Europe/Tirane,1
Figueira da Foz,Portugal,40.15085,-8.86179,46600,15,Europe/Lisbon,0
Figueres,Spain,42.26645,2.96163,43330,41,Europe/Madrid,1
Filderstadt,Germany,48.65698,9.22049,43550,393,Europe/Berlin,1
Fili,Russia,55.74819,37.47969,80000,166,Europe/Moscow,3
Filiasi,Romania,44.55,23.51667,18995,106,Europe/Bucharest,2
Fillmore,United States,34.39916,-118.91815,15548,143,America/Los_Angeles,-8
Financial District,United States,40.70789,-74.00857,60976,40,America/New_York,-5
Finchley,United Kingdom,51.60096,-0.19518,65812,93,Europe/London,0
Findlay,United States,41.04422,-83.64993,41149,238,America/New_York,-5
Finglas,Ireland,53.38917,-6.29694,19768,59,Europe/Dublin,0
Finlyandskiy,Russia,59.96824,30.36415,72292,10,Europe/Moscow,3
Finnentrop,Germany,51.168,7.973,18427,251,Europe/Berlin,1
Finote Selam,Ethiopia,10.7,37.26667,23463,1914,Africa/Addis_Ababa,3
Finsterwalde,Germany,51.63388,13.70662,18922,108,Europe/Berlin,1
Fiorano,Italy,44.53889,10.81166,16278,125,Europe/Rome,1
Firmat,Argentina,-33.45937,-61.4832,18294,109,America/Argentina/Cordoba,-3
Firminy,France,45.38956,4.2886,17902,477,Europe/Paris,1
Firozabad,India,27.15092,78.39781,306409,169,Asia/Kolkata,5.5
Firozpur Jhirka,India,27.78853,76.94496,20195,217,Asia/Kolkata,5.5
Firuzabad,Iran,28.8438,52.5707,66558,1330,Asia/Tehran,3.5
Fishers,United States,39.95559,-86.01387,76794,250,America/Indiana/Indianapolis,-5
Fitchburg,United States,42.58342,-71.8023,27996,144,America/Chicago,-5
Fiumicino,Italy,41.77093,12.23662,34556,1,Europe/Rome,1
Five Corners,United States,45.68456,-122.5751,18159,65,America/Los_Angeles,-8
Fizuli,Azerbaijan,39.60094,47.14529,26765,419,Asia/Baku,4
Flagami,United States,25.76232,-80.31616,50834,10,America/New_York,-5
Flagstaff,United States,35.19807,-111.65127,70320,2108,America/Phoenix,-7
Flandes,Colombia,4.29005,-74.81612,20919,285,America/Bogota,-5
Flatbush,United States,40.65205,-73.95903,93361,18,America/New_York,-5
Flatlands,United States,40.62122,-73.93486,63601,6,America/New_York,-5
Fleet,United Kingdom,51.28333,-0.83333,38726,74,Europe/London,0
Fleetwood,United Kingdom,53.92527,-3.01085,25359,10,Europe/London,0
Flemalle-Haute,Belgium,50.59994,5.44471,25144,175,Europe/Brussels,1
Fleming Island,United States,30.0933,-81.71898,27126,10,America/New_York,-5
Flemingdon Park,Canada,43.71806,-79.33222,21933,128,America/Toronto,-5
Flensburg,Germany,54.78431,9.43961,85838,7,Europe/Berlin,1
Fleron,Belgium,50.61516,5.68062,15994,258,Europe/Brussels,1
Flers,France,48.73722,-0.57466,17430,206,Europe/Paris,1
Fleurus,Belgium,50.48351,4.55006,22080,158,Europe/Brussels,1
Fleury-les-Aubrais,France,47.93328,1.91811,21085,120,Europe/Paris,1
Flint,United Kingdom,53.24488,-3.13231,26442,29,Europe/London,0
Flint,United States,43.01253,-83.68746,98310,231,America/Detroit,-5
Floersheim,Germany,50.01311,8.42779,20023,94,Europe/Berlin,1
Floirac,France,44.83061,-0.52675,16497,7,Europe/Paris,1
Floral Park,United States,40.72371,-73.70485,15969,29,America/New_York,-5
Florence,Italy,43.77925,11.24626,349296,51,Europe/Rome,1
Florence,United States,33.03145,-111.38734,31110,172,America/Chicago,-5
Florence-Graham,United States,33.96772,-118.24438,63387,46,America/Los_Angeles,-8
Florencia,Colombia,1.61438,-75.60623,130337,270,America/Bogota,-5
Florencia,Cuba,22.1461,-78.97328,19811,98,America/Havana,-5
Flores,Guatemala,16.92258,-89.89941,20464,121,America/Guatemala,-6
Flores da Cunha,Brazil,-29.02889,-51.18167,20521,748,America/Sao_Paulo,-3
Floresta,Brazil,-8.60111,-38.56861,18100,321,America/Recife,-3
Floresti,Moldova,47.89137,28.29312,16759,120,Europe/Chisinau,2
Floriano,Brazil,-6.76694,-43.0225,48587,114,America/Fortaleza,-3
Florianopolis,Brazil,-27.59667,-48.54917,412724,26,America/Sao_Paulo,-3
Florida,Colombia,3.3223,-76.2348,47173,1043,America/Bogota,-5
Florida,Cuba,21.52536,-78.22579,63007,68,America/Havana,-5
Florida,Uruguay,-34.09556,-56.21417,32234,74,America/Montevideo,-3
Florida Ridge,United States,27.58031,-80.38672,18164,8,America/New_York,-5
Floridablanca,Colombia,7.06222,-73.08644,252267,928,America/Bogota,-5
Floridia,Italy,37.08343,15.15332,22089,116,Europe/Rome,1
Floridsdorf,Austria,48.25,16.4,162779,159,Europe/Vienna,1
Florin,United States,38.49602,-121.40884,47513,10,America/Los_Angeles,-8
Florina,Greece,40.78197,21.40981,17686,656,Europe/Athens,2
Florissant,United States,38.78922,-90.32261,52268,176,America/Chicago,-6
Flower Mound,United States,33.01457,-97.09696,71253,186,America/Chicago,-6
Flowing Wells,United States,32.29396,-111.00982,16419,692,America/Phoenix,-7
Flying Fish Cove,Christmas Island,-10.42172,105.67912,500,135,Indian/Christmas,7
Fnidek,Morocco,35.84906,-5.35747,53559,21,Africa/Casablanca,1
Foca,Turkey,38.6703,26.75656,15189,5,Europe/Istanbul,3
Fochville,South Africa,-26.48862,27.49387,62416,1478,Africa/Johannesburg,2
Focsani,Romania,45.7,27.18333,77313,54,Europe/Bucharest,2
Foggia,Italy,41.45845,15.55188,137032,72,Europe/Rome,1
Fokino,Russia,42.97429,132.40574,25827,22,Asia/Vladivostok,10
Foley,United States,30.40659,-87.6836,17218,31,America/Chicago,-6
Foligno,Italy,42.95488,12.70268,47747,242,Europe/Rome,1
Folkestone,United Kingdom,51.08169,1.16734,66429,46,Europe/London,0
Follonica,Italy,42.92779,10.76451,21163,11,Europe/Rome,1
Folsom,United States,38.67796,-121.17606,76375,66,America/Los_Angeles,-8
Fomento,Cuba,22.10475,-79.72141,19991,127,America/Havana,-5
Fond Parisien,Haiti,18.50547,-71.98122,18256,51,America/Port-au-Prince,-5
Fond du Lac,United States,43.775,-88.43883,42933,234,America/Chicago,-6
Fondi,Italy,41.35787,13.42718,26634,18,Europe/Rome,1
Fonseca,Colombia,10.88606,-72.8487,23509,182,America/Bogota,-5
Fontaine,France,45.19275,5.68821,24588,210,Europe/Paris,1
Fontainebleau,France,48.40908,2.70177,19717,84,Europe/Paris,1
Fontana,Argentina,-27.41813,-59.02392,26745,54,America/Argentina/Cordoba,-3
Fontana,United States,34.09223,-117.43505,207460,378,America/Los_Angeles,-8
Fonte Boa,Brazil,-2.51389,-66.09167,16060,60,America/Manaus,-4
Fontem,Cameroon,5.4685,9.8818,42689,902,Africa/Douala,1
Fontenay-aux-Roses,France,48.79325,2.29275,24680,100,Europe/Paris,1
Fontenay-le-Comte,France,46.46671,-0.80624,16316,15,Europe/Paris,1
Fontenay-sous-Bois,France,48.85442,2.48268,52075,71,Europe/Paris,1
Foothill Farms,United States,38.67877,-121.35114,33121,41,America/Los_Angeles,-8
Footscray,Australia,-37.8,144.9,16550,27,Australia/Melbourne,11
Forbach,France,49.18848,6.89255,21358,208,Europe/Paris,1
Forbesganj,India,26.30253,87.26556,45098,65,Asia/Kolkata,5.5
Forchheim,Germany,49.71754,11.05877,30442,261,Europe/Berlin,1
Fordham,United States,40.85927,-73.89847,94678,42,America/New_York,-5
Fordon,Poland,53.14821,18.17036,70000,39,Europe/Warsaw,1
Fords,United States,40.52927,-74.31598,15187,39,America/New_York,-5
Forest,Belgium,50.81678,4.32775,56254,52,Europe/Brussels,1
Forest Grove,United States,45.51984,-123.11066,24457,65,America/Los_Angeles,-8
Forest Hills,United States,40.71621,-73.85014,25867,19,America/Detroit,-5
Forest Lake,Australia,-27.62563,152.96883,22581,57,Australia/Brisbane,10
Forest Lake,United States,45.27886,-92.98522,19618,276,America/Chicago,-6
Forest Park,United States,33.62205,-84.36909,18676,258,America/New_York,-5
Forio,Italy,40.73757,13.86003,15969,12,Europe/Rome,1
Forli,Italy,44.22177,12.04144,93638,36,Europe/Rome,1
Formby,United Kingdom,53.55838,-3.06999,23329,12,Europe/London,0
Formia,Italy,41.25632,13.60888,28521,8,Europe/Rome,1
Formiga,Brazil,-20.46444,-45.42639,56404,841,America/Sao_Paulo,-3
Formigine,Italy,44.57268,10.84737,26324,82,Europe/Rome,1
Formosa,Argentina,-26.18489,-58.17313,221383,67,America/Argentina/Cordoba,-3
Formosa,Brazil,-15.53722,-47.33444,81232,915,America/Sao_Paulo,-3
Fornacelle,Italy,43.92377,11.03525,17278,68,Europe/Rome,1
Forney,United States,32.74818,-96.47193,18418,149,America/Chicago,-6
Forquilhinha,Brazil,-28.7475,-49.47222,22998,28,America/Sao_Paulo,-3
Forssa,Finland,60.81462,23.62146,17852,133,Europe/Helsinki,2
Forst,Germany,51.73544,14.63971,22843,80,Europe/Berlin,1
Fort Abbas,Pakistan,29.19344,72.85525,40626,147,Asia/Karachi,5
Fort Beaufort,South Africa,-32.77477,26.63376,58419,444,Africa/Johannesburg,2
Fort Bragg,United States,35.139,-79.00603,29183,104,America/New_York,-5
Fort Collins,United States,40.58526,-105.08442,161175,1531,America/Denver,-7
Fort Dodge,United States,42.49747,-94.16802,24649,340,America/Chicago,-6
Fort Erie,Canada,42.90012,-78.93286,15953,183,America/Toronto,-5
Fort Gloster,India,22.50444,88.18333,18350,12,Asia/Kolkata,5.5
Fort Hamilton,United States,40.61872,-74.0332,28966,23,America/New_York,-5
Fort Hood,United States,31.13489,-97.77561,29589,276,America/Chicago,-6
Fort Hunt,United States,38.73289,-77.05803,16045,16,America/New_York,-5
Fort Lauderdale,United States,26.12231,-80.14338,178590,20,America/New_York,-5
Fort Lee,United States,40.85093,-73.97014,36672,90,America/New_York,-5
Fort Leonard Wood,United States,37.70573,-92.15717,15061,339,America/Chicago,-6
Fort McMurray,Canada,56.72676,-111.38103,76000,258,America/Edmonton,-7
Fort Myers,United States,26.62168,-81.84059,74013,9,America/New_York,-5
Fort Pienc,Spain,41.39458,2.17946,31963,30,Europe/Madrid,1
Fort Pierce,United States,27.44671,-80.32561,44484,5,America/New_York,-5
Fort Portal,Uganda,0.66174,30.2748,42670,1518,Africa/Kampala,3
Fort Smith,United States,35.38592,-94.39855,88194,135,America/Chicago,-6
Fort St. John,Canada,56.24988,-120.85292,17402,696,America/Dawson_Creek,-7
Fort Thomas,United States,39.07506,-84.44716,16398,264,America/New_York,-5
Fort Walton Beach,United States,30.42059,-86.61707,21817,12,America/Chicago,-6
Fort Washington,United States,38.70734,-77.02303,23717,41,America/New_York,-5
Fort Wayne,United States,41.1306,-85.12886,260326,250,America/Indiana/Indianapolis,-5
Fort Worth,United States,32.72541,-97.32085,833319,203,America/Chicago,-6
Fort-de-France,Martinique,14.60365,-61.07418,89995,5,America/Martinique,-4
Fortaleza,Brazil,-3.71722,-38.54306,2400000,18,America/Fortaleza,-3
Fortin de las Flores,Mexico,18.90806,-97,21370,1048,America/Mexico_City,-6
Fortuna Foothills,United States,32.65783,-114.41189,26265,99,America/Phoenix,-7
Fos-sur-Mer,France,43.43774,4.94457,17317,9,Europe/Paris,1
Foshan,"China, People's Republic of",23.02677,113.13148,7197394,5,Asia/Shanghai,8
Foso,Ghana,5.70119,-1.28657,20078,148,Africa/Accra,0
Fossano,Italy,44.55077,7.71922,18773,357,Europe/Rome,1
Foster City,United States,37.55855,-122.27108,33477,3,America/Los_Angeles,-8
Fot,Hungary,47.6177,19.1887,16770,145,Europe/Budapest,1
Fougeres,France,48.35157,-1.19961,23719,115,Europe/Paris,1
Foumban,Cameroon,5.72662,10.89865,92673,1179,Africa/Douala,1
Foumbot,Cameroon,5.50803,10.6325,84065,1054,Africa/Douala,1
Fountain,United States,38.68222,-104.70081,27767,1694,America/Denver,-7
Fountain Hills,United States,33.61171,-111.71736,23899,494,America/Phoenix,-7
Fountain Valley,United States,33.70918,-117.95367,56987,16,America/Los_Angeles,-8
Fountainebleau,United States,25.77288,-80.34783,59764,8,America/New_York,-5
Four Corners,United States,28.33287,-122.98371,15947,39,America/Los_Angeles,-5
Foz do Iguacu,Brazil,-25.54778,-54.58806,293523,179,America/Sao_Paulo,-3
Fraccionamiento Ciudad Olmeca,Mexico,18.15056,-94.5525,16074,19,America/Mexico_City,-6
Fraccionamiento Real Palmas,Mexico,25.90417,-100.15972,34636,389,America/Monterrey,-6
Fraijanes,Guatemala,14.46528,-90.44083,28492,1641,America/Guatemala,-6
Frameries,Belgium,50.40578,3.89603,20598,113,Europe/Brussels,1
Framingham,United States,42.27926,-71.41617,68318,54,America/New_York,-5
Framingham Center,United States,42.29732,-71.43701,65413,84,America/New_York,-5
Franca,Brazil,-20.53861,-47.40083,305041,1002,America/Sao_Paulo,-3
Francavilla Fontana,Italy,40.53123,17.58522,33415,146,Europe/Rome,1
Francavilla al Mare,Italy,42.42158,14.28217,21095,13,Europe/Rome,1
Franceville,Gabon,-1.63333,13.58357,42967,405,Africa/Libreville,1
Francisco Beltrao,Brazil,-26.08111,-53.055,57618,567,America/Sao_Paulo,-3
Francisco I. Madero,Mexico,25.773,-103.27127,26632,1112,America/Monterrey,-6
Francisco Morato,Brazil,-23.28167,-46.74528,171790,803,America/Sao_Paulo,-3
Francistown,Botswana,-21.17,27.50778,89979,989,Africa/Gaborone,2
Franco da Rocha,Brazil,-23.32167,-46.72694,108858,762,America/Sao_Paulo,-3
Franconia,United States,38.78206,-77.14637,18245,79,America/New_York,-5
Franconville,France,48.98333,2.23333,34284,71,Europe/Paris,1
Frankenberg,Germany,50.91297,13.04011,16850,279,Europe/Berlin,1
Frankenthal,Germany,49.53414,8.35357,47438,99,Europe/Berlin,1
Frankfort,United States,38.20091,-84.87328,16060,154,America/Chicago,-5
Frankfurt (Oder),Germany,52.34714,14.55062,51691,28,Europe/Berlin,1
Frankfurt am Main,Germany,50.11552,8.68417,650000,113,Europe/Berlin,1
Franklin,United States,35.92506,-71.39673,24598,201,America/Chicago,-5
Franklin Park,United States,41.93531,-87.86562,18312,196,America/Chicago,-6
Franklin Square,United States,40.70732,-73.67596,29320,21,America/New_York,-5
Frankston,Australia,-38.14458,145.12291,36239,15,Australia/Melbourne,11
Frankston East,Australia,-38.13333,145.13333,34457,10,Australia/Melbourne,11
Frankston South,Australia,-38.16604,145.13643,17826,88,Australia/Melbourne,11
Frascati,Italy,41.8091,12.67942,20036,326,Europe/Rome,1
Frattamaggiore,Italy,40.9414,14.27588,29822,46,Europe/Rome,1
Frattaminore,Italy,40.9558,14.27201,15487,39,Europe/Rome,1
Frauenfeld,Switzerland,47.55776,8.89893,21979,418,Europe/Zurich,1
Fray Bentos,Uruguay,-33.11651,-58.31067,23279,17,America/Montevideo,-3
Frechen,Germany,50.91485,6.8118,48733,73,Europe/Berlin,1
Fredericia,Denmark,55.56568,9.75257,36946,16,Europe/Copenhagen,1
Frederick,United States,39.41427,-77.41054,69479,90,America/New_York,-5
Fredericksburg,United States,38.30318,-77.46054,28118,20,America/New_York,-5
Frederickson,United States,47.09621,-122.35873,18719,119,America/Los_Angeles,-8
Frederico Westphalen,Brazil,-27.35917,-53.39444,20896,528,America/Sao_Paulo,-3
Fredericton,Canada,45.94541,-66.66558,52337,110,America/Moncton,-4
Frederiksberg,Denmark,55.67938,12.53463,95029,15,Europe/Copenhagen,1
Frederikshavn,Denmark,57.44073,10.53661,24103,8,Europe/Copenhagen,1
Fredrikstad,Norway,59.2181,10.9298,72760,6,Europe/Oslo,1
Freeport,Bahamas,26.53333,-78.7,26910,6,America/Nassau,-5
Freeport,United States,40.6576,-73.58318,24476,10,America/Chicago,-5
Freetown,Sierra Leone,8.48714,-13.2356,802639,38,Africa/Freetown,0
Freguesia do Ribeirao da Ilha,Brazil,-27.71773,-48.56266,21000,13,America/Sao_Paulo,-3
Freha,Algeria,36.75234,4.3155,31068,170,Africa/Algiers,1
Freiberg,Germany,50.91089,13.33881,43670,412,Europe/Berlin,1
Freiberg am Neckar,Germany,48.93196,9.2024,15235,256,Europe/Berlin,1
Freiburg,Germany,47.9959,7.85222,215966,279,Europe/Berlin,1
Freilassing,Germany,47.84085,12.98114,15909,423,Europe/Berlin,1
Freising,Germany,48.40351,11.74876,42570,448,Europe/Berlin,1
Freital,Germany,51.00166,13.6488,39027,171,Europe/Berlin,1
Frejus,France,43.43325,6.73555,53098,32,Europe/Paris,1
Fremont,United States,37.54827,-121.98857,16297,18,America/Chicago,-5
French Rocks,India,12.50094,76.67416,19051,734,Asia/Kolkata,5.5
Frenda,Algeria,35.06544,1.04945,63319,1058,Africa/Algiers,1
Fresh Meadows,United States,40.73482,-73.79347,28397,12,America/New_York,-5
Fresnes,France,48.75568,2.32241,24803,68,Europe/Paris,1
Fresnillo,Mexico,23.18126,-102.87136,120944,2197,America/Mexico_City,-6
Fresno,Colombia,5.15264,-75.03624,17668,1467,America/Bogota,-5
Fresno,United States,29.53885,-119.77237,19069,27,America/Chicago,-6
Freudenberg,Germany,50.89741,7.87415,18601,297,Europe/Berlin,1
Freudenstadt,Germany,48.46695,8.41371,23868,736,Europe/Berlin,1
Fria,Guinea,10.36676,-13.58253,44369,210,Africa/Conakry,0
Fribourg,Switzerland,46.80237,7.15128,32827,627,Europe/Zurich,1
Fridley,United States,45.08608,-93.26328,27713,260,America/Chicago,-6
Friedberg,Germany,48.35693,10.98461,27484,159,Europe/Berlin,1
Friedenau,Germany,52.47133,13.32813,26972,44,Europe/Berlin,1
Friedrichsdorf,Germany,50.24962,8.64281,24435,202,Europe/Berlin,1
Friedrichsfelde,Germany,52.50575,13.50812,49109,39,Europe/Berlin,1
Friedrichshafen,Germany,47.65689,9.47554,58403,405,Europe/Berlin,1
Friedrichshagen,Germany,52.45052,13.62463,17529,38,Europe/Berlin,1
Friedrichshain Bezirk,Germany,52.51559,13.45482,117829,41,Europe/Berlin,1
Friendswood,United States,29.5294,-95.20104,38800,11,America/Chicago,-6
Friern Barnet,United Kingdom,51.61328,-0.15853,17250,67,Europe/London,0
Friesoythe,Germany,53.0226,7.85764,20311,10,Europe/Berlin,1
Frinton-on-Sea,United Kingdom,51.83061,1.24424,16941,21,Europe/London,0
Frisco,United States,33.15067,-96.82361,154407,216,America/Chicago,-6
Froendenberg,Germany,51.47563,7.76946,22964,163,Europe/Berlin,1
Frohnau,Germany,52.63336,13.29024,16571,55,Europe/Berlin,1
Frolovo,Russia,49.77133,43.66222,40882,116,Europe/Volgograd,3
Frome,United Kingdom,51.22834,-2.32211,26203,104,Europe/London,0
Front Royal,United States,38.91817,-78.19444,15070,172,America/New_York,-5
Frontera,Mexico,18.54326,-101.45212,22795,5,America/Mexico_City,-6
Frontignan,France,43.44775,3.75524,22251,4,Europe/Paris,1
Frosinone,Italy,41.63976,13.34109,44505,183,Europe/Rome,1
Fruit Cove,United States,30.11107,-81.64176,29362,16,America/New_York,-5
Frutal,Brazil,-20.02472,-48.94056,40931,511,America/Sao_Paulo,-3
Fryazevo,Russia,55.73321,38.46458,53212,138,Europe/Moscow,3
Fryazino,Russia,55.96056,38.04556,52255,169,Europe/Moscow,3
Frydek-Mistek,Czech Republic,49.68333,18.35,59416,283,Europe/Prague,1
"Fu'an","China, People's Republic of",27.06372,119.6528,71053,183,Asia/Shanghai,8
Fuchucho,Japan,34.5735,133.23513,50746,33,Asia/Tokyo,9
Fuding,"China, People's Republic of",27.32734,120.21399,63250,13,Asia/Shanghai,8
Fuencarral-El Pardo,Spain,40.4984,-3.7314,220085,687,Europe/Madrid,1
Fuengirola,Spain,36.53998,-4.62473,71482,13,Europe/Madrid,1
Fuenlabrada,Spain,40.28419,-3.79415,197836,671,Europe/Madrid,1
Fuenterrabia,Spain,43.36859,-1.79622,16458,27,Europe/Madrid,1
Fuentes del Valle,Mexico,19.6325,-99.13861,74087,2256,America/Mexico_City,-6
Fuerstenfeldbruck,Germany,48.17904,11.2547,33533,525,Europe/Berlin,1
Fuerstenwalde,Germany,52.36067,14.06185,33539,44,Europe/Berlin,1
Fuessen,Germany,47.57143,10.70171,15608,800,Europe/Berlin,1
Fuji,Japan,35.16667,138.68333,240014,9,Asia/Tokyo,9
Fujieda,Japan,34.86667,138.26667,132859,22,Asia/Tokyo,9
Fujikawaguchiko,Japan,35.48933,138.68832,23097,1086,Asia/Tokyo,9
Fujin,"China, People's Republic of",47.26,132.03222,89442,62,Asia/Shanghai,8
Fujinomiya,Japan,35.21667,138.61667,132507,116,Asia/Tokyo,9
Fujioka,Japan,36.24624,139.07204,18335,21,Asia/Tokyo,9
Fujisawa,Japan,35.34926,139.47666,394624,12,Asia/Tokyo,9
Fujishiro,Japan,35.91667,140.11667,33148,4,Asia/Tokyo,9
Fujiyoshida,Japan,35.44032,138.79586,48782,1055,Asia/Tokyo,9
